phrases,tagged_phrases
build,build nn
buildup,buildup nn
built,built nn
bulletin,bulletin nn
bulletins,bulletins nns
burned,burned vbn
burning,burning nn
burnt,burnt nn
bus,bus nn
busbars,busbars nns
buss,buss nn
button,button nn
buttons,buttons nns
by accident,by in_pos accident nn
by aneesh,by in_pos aneesh jj
by comparrison,by in_pos comparrison nn
by driller,by in_pos driller nn
by engineer,by in_pos engineer nn
by hand,by in_pos hand nn
by maint,by in_pos maint nn
by maurice,by in_pos maurice nn
by motor,by in_pos motor nn
by mrgopal anf,by in_pos mrgopal jj anf nn
by noticeable vibration,by in_pos noticeable jj vibration nn
by nov refer,by in_pos nov nns refer vbp
by other shift,by in_pos other jj shift nn
by paint,by in_pos paint nn
by personel,by in_pos personel nns
by ratheesh,by in_pos ratheesh nn
by rd,by in_pos rd nn
by shimmer,by in_pos shimmer nn
by tfs,by in_pos tfs nn
by third party,by in_pos third jj party nn
by transocean policy,by in_pos transocean jj policy nn
by traume,by in_pos traume nn
by vendor,by in_pos vendor nn
by vijay,by in_pos vijay nn
by visual checksmoreover,by in_pos visual jj checksmoreover nn
c,c nns
c cooling,c nns cooling vbg
cabinet,cabinet nn
cabinets,cabinets nns
cabint,cabint nn
cable,cable nn
cableing,cableing vbg
cables,cables nns
cabling,cabling vbg
cad,cad nn
calibrated,calibrated vbn
calibration,calibration nn
calibrations,calibrations nns
call,call nn
called,called vbn
came,came vbd
camera,camera nn
can be checked,can md be vb checked vbn
can be cloased,can md be vb cloased vbn
can be closed,can md be vb closed vbn
can be controlled,can md be vb controlled vbn
can be done,can md be vb done vbn
can be expected,can md be vb expected vbn
can be found,can md be vb found vbn
can be noticed,can md be vb noticed vbn
can be put,can md be vb put vbn
can be seen,can md be vb seen vbn
can be stopped,can md be vb stopped vbn
can be used,can md be vb used vbn
cancelled,cancelled vbn
cant,cant nn
cap,cap nn
capability,capability nn
cards,cards nns
care,care nn
carlos,carlos nn
carried,carried vbn
casing,casing vbg
cassette,cassette nn
catalogue,catalogue nn
cause,cause nn
caused,caused vbn
cecked,cecked nns
celcius,celcius nn
celsius,celsius nn
censors,censors nns
center,center nn
centres,centres nns
certification,certification nn
certified,certified vbn
ch,ch nn
chain,chain nn
chair,chair nn
challenging,challenging vbg
change,change nn
changed,changed vbn
changing,changing vbg
characteristics,characteristics nns
charged,charged vbn
charger,charger nn
charges,charges nns
charging,charging vbg
charles,charles nns
chart attached,chart nn attached vbd
charts,charts nns
chattering,chattering vbg
check,check nn
checked,checked nns
checking,checking vbg
checks,checks nns
chief,chief nn
circuit,circuit nn
circulating,circulating vbg
clean,clean nn
cleaned,cleaned vbn
cleaner,cleaner nn
cleaning,cleaning nn
cleanliness,cleanliness nn
cleanning,cleanning vbg
clear,clear jj
clockwise,clockwise nn
close,close rb
close visual,close rb visual jj
closed,closed vbd
closer,closer nn
closing,closing nn
cmd,cmd nn
cmkgkkd,cmkgkkd nn
cmtut,cmtut nn
cmtutbl,cmtutbl nn
coating,coating vbg
code,code nn
coded,coded vbn
codition,codition nn
collected,collected vbn
colling,colling vbg
come,come vb
comes out,comes vbz out rp
coming,coming vbg
comming,comming vbg
commissioning,commissioning vbg
common,common jj
communication,communication nn
company,company nn
compare,compare nn
compared,compared vbn
comperable,comperable jj
complete,complete jj
complete torched,complete jj torched vbd
completed,completed vbn
completedplan,completedplan nn
completely dead,completely rb dead jj
completion,completion nn
completions,completions nns
complettion,complettion nn
complite,complite nn
components,components nns
compressed,compressed vbn
compromised,compromised vbn
comressed,comressed vbn
conations,conations nns
concern,concern nn
concerns,concerns nns
condensation,condensation nn
condiditons,condiditons nns
condition,condition nn
conditions,conditions nns
conditionsok,conditionsok nn
conditon,conditon nn
conditons,conditons nns
condtion,condtion nn
conducted,conducted vbn
conductor,conductor nn
conductors,conductors nns
cone,cone nn
configuration,configuration nn
confimed,confimed vbn
confirm,confirm nn
confirmed,confirmed vbn
confusion,confusion nn
conirmed,conirmed vbn
connected,connected vbn
connectedfunction,connectedfunction nn
connection,connection nn
connections,connections nns
consistant,consistant nn
consistent,consistent nn
console confirmed,console nn confirmed vbd
consumables,consumables nns
contacting,contacting vbg
contactor,contactor nn
contactors,contactors nns
contacts,contacts nns
contains reduced,contains nns reduced vbd
continue,continue nn
continued,continued jj
continuing,continuing vbg
continuity,continuity nn
control,control nn
controller,controller nn
controllers,controllers nns
controls,controls nns
convenience,convenience nn
converter,converter nn
cooled,cooled vbn
cooling,cooling vbg
corossion,corossion nn
correct,correct nn
correctd,correctd nn
corrective,corrective nn
correctly amp,correctly rb amp nn
correctly amps,correctly rb amps nns
correctly checked,correctly rb checked vbn
correctly closed,correctly rb closed vbd
correctly if drilling,correctly rb if in_pos drilling nn
correctly mpa,correctly rb mpa nn
correctly removed,correctly rb removed vbn
correctly torque,correctly rb torque nn
correctly visualized,correctly rb visualized vbn
correctlyis,correctlyis nn
correctlyok,correctlyok nn
correctlypulling,correctlypulling vbg
correspondence,correspondence nn
corroded,corroded vbn
corrosion,corrosion nn
corrosions,corrosions nns
corrsion,corrsion nn
cost,cost nn
costing,costing vbg
could be removed,could md be vb removed vbn
could have attributed,could md have vb attributed vbn
could have been,could md have vb been vbn
could have caused,could md have vb caused vbn
couldnt,couldnt nn
counted,counted vbn
counter,counter nn
counters,counters nns
couple,couple nn
coupling,coupling vbg
cover,cover nn
covered,covered vbn
covers,covers nns
covers confirmed,covers nns confirmed vbd
covers earth,covers nns earth vbp
covers installed,covers nns installed vbd
covers made,covers nns made vbd
covers ok,covers nns ok vbp
covers on drive,covers nns on in_pos drive nn
covers removed,covers nns removed vbd
covers repaired,covers nns repaired vbd
covers visualized,covers nns visualized vbd
covers while i,covers nns while in_pos i nn
cowl,cowl nn
